name,mpg,fgm_per_g,fga_per_g,fg_pct,fg3m_per_g,fg3a_per_g,fg3_pct,fg2m_per_g,fg2a_per_g,fg2_pct,efg_pct,ftm_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,ppg,team
Franklin Edwards,10.9,1.4,3.7,.380,0.0,0.0,.000,1.4,3.7,.382,.380,0.6,0.8,.708,0.2,0.8,1.0,1.5,0.5,0.1,0.8,1.3,3.4,PHI
James Edwards,26.3,6.1,11.3,.536,0.0,0.0,.000,6.1,11.3,.537,.536,2.5,3.5,.720,1.5,3.3,4.8,2.6,0.3,0.4,1.9,3.5,14.7,PHO
Craig Ehlo,9.0,1.6,3.9,.407,0.0,0.0,,1.6,3.9,.407,.407,0.1,0.1,1.000,0.6,0.7,1.3,0.9,0.4,0.0,0.4,1.9,3.3,HOU
Dale Ellis,15.8,3.4,7.4,.456,0.2,0.4,.414,3.2,6.9,.459,.469,1.3,1.8,.719,1.6,2.1,3.7,0.8,0.6,0.1,1.2,1.8,8.2,DAL
Len Elmore,12.8,1.0,2.4,.408,0.0,0.0,,1.0,2.4,.408,.408,0.4,0.6,.711,1.0,1.6,2.5,0.5,0.4,0.5,0.7,2.4,2.4,NYK
Chris Engler,7.8,0.7,1.8,.398,0.0,0.0,,0.7,1.8,.398,.398,0.3,0.5,.609,0.6,1.5,2.1,0.2,0.2,0.1,0.5,1.5,1.7,GSW
Alex English,35.0,11.1,20.9,.529,0.0,0.1,.143,11.0,20.8,.531,.529,4.3,5.2,.824,2.6,3.0,5.7,5.0,1.0,1.2,2.7,3.1,26.4,DEN
Julius Erving,34.8,8.8,17.2,.512,0.1,0.3,.333,8.7,16.9,.515,.515,4.7,6.3,.754,2.5,4.4,6.9,4.0,1.8,1.8,3.0,2.8,22.4,PHI
Mike Evans,21.6,3.1,7.2,.431,0.4,1.1,.360,2.7,6.1,.444,.459,1.4,1.7,.847,0.3,1.5,1.8,3.7,0.8,0.1,1.5,2.2,8.1,DEN
Eric Fernsten,12.6,0.9,1.6,.558,0.0,0.0,,0.9,1.6,.558,.558,0.8,1.1,.735,0.9,1.8,2.7,0.3,0.5,0.3,0.6,1.5,2.6,NYK
Sleepy Floyd,33.2,6.3,13.6,.463,0.1,0.6,.178,6.2,13.0,.476,.467,4.1,5.0,.816,1.1,2.4,3.5,3.5,1.3,0.4,2.5,2.8,16.8,GSW
Phil Ford,24.9,2.9,5.8,.502,0.0,0.2,.133,2.9,5.6,.514,.504,1.2,1.4,.838,0.3,1.3,1.7,5.1,0.7,0.1,1.7,3.0,7.1,HOU
Rod Foster,17.8,3.3,7.3,.448,0.3,1.1,.262,3.0,6.2,.480,.467,1.5,1.9,.787,0.5,1.0,1.5,2.2,0.7,0.1,1.4,2.4,8.3,PHO
World B. Free,31.7,8.3,18.8,.445,0.3,0.9,.319,8.1,17.8,.451,.453,5.3,6.7,.784,1.2,1.7,2.9,3.0,1.3,0.1,2.1,2.9,22.3,CLE
Bill Garnett,19.1,1.8,3.7,.472,0.0,0.0,.000,1.8,3.7,.475,.472,1.6,2.2,.733,1.5,2.6,4.1,1.6,0.6,0.8,0.9,2.7,5.1,DAL
Calvin Garrett,11.7,1.9,3.7,.513,0.0,0.1,.333,1.9,3.6,.521,.520,0.7,1.0,.769,0.6,1.1,1.7,0.8,0.3,0.0,0.8,1.5,4.6,LAL
John Garris,8.1,1.6,3.1,.510,0.0,0.0,,1.6,3.1,.510,.510,0.8,1.0,.794,1.1,1.3,2.3,0.3,0.2,0.2,0.3,1.2,4.0,CLE
George Gervin,34.0,10.1,20.5,.490,0.1,0.3,.417,9.9,20.2,.491,.493,5.6,6.7,.842,1.4,2.7,4.1,2.9,1.0,0.6,2.9,2.9,25.9,SAS
Mike Gibson,7.2,0.7,1.7,.382,0.0,0.0,,0.7,1.7,.382,.382,0.3,0.5,.647,0.9,1.2,2.1,0.3,0.2,0.2,0.4,0.9,1.7,WSB
