,name,mpg,fgm_per_g,fga_per_g,fg_pct,fg3m_per_g,fg3a_per_g,fg3_pct,fg2m_per_g,fg2a_per_g,fg2_pct,efg_pct,ftm_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,ppg
196,Reggie Evans,26.6,1.4,3.4,.408,0.0,0.0,.000,1.4,3.4,.412,.408,1.6,2.9,.545,4.0,7.5,11.5,1.3,1.0,0.2,1.3,3.0,4.4
197,Tyreke Evans,37.0,6.7,16.4,.409,0.8,2.6,.291,5.9,13.8,.432,.432,3.6,4.7,.771,0.8,4.0,4.8,5.6,1.5,0.5,3.2,2.5,17.8
198,Patrick Ewing,2.7,0.0,0.7,.000,0.0,0.3,.000,0.0,0.4,.000,.000,0.4,0.6,.750,0.1,0.1,0.3,0.3,0.0,0.1,0.1,0.1,0.4
199,Christian Eyenga,21.5,3.0,7.0,.425,0.6,2.1,.275,2.4,4.9,.488,.466,0.4,0.6,.643,0.6,2.2,2.8,0.8,0.8,0.6,1.1,1.8,6.9
200,Jordan Farmar,24.6,3.5,8.9,.392,1.5,4.2,.359,2.0,4.8,.421,.475,1.1,1.4,.820,0.3,2.0,2.4,5.0,0.8,0.1,1.9,1.8,9.6
201,Derrick Favors,19.7,2.8,5.3,.517,0.0,0.0,,2.8,5.3,.517,.517,1.3,2.2,.595,2.2,3.1,5.3,0.5,0.4,0.9,1.0,3.2,6.8
202,Derrick Favors,19.5,2.5,4.9,.511,0.0,0.0,,2.5,4.9,.511,.511,1.3,2.1,.612,2.3,3.1,5.3,0.4,0.3,0.7,1.0,3.3,6.3
203,Derrick Favors,20.2,3.4,6.4,.529,0.0,0.0,,3.4,6.4,.529,.529,1.5,2.6,.561,2.0,3.2,5.2,0.8,0.5,1.2,1.0,2.9,8.2
204,Raymond Felton,36.5,5.7,13.4,.425,1.5,4.4,.353,4.1,9.0,.460,.483,2.6,3.2,.805,0.6,2.9,3.6,8.3,1.7,0.1,2.9,2.0,15.5
205,Raymond Felton,38.4,6.3,14.8,.423,1.6,5.0,.328,4.6,9.9,.471,.478,2.9,3.4,.867,0.7,2.9,3.6,9.0,1.8,0.2,3.3,2.1,17.1
206,Raymond Felton,31.6,4.2,9.7,.431,1.3,2.9,.459,2.9,6.8,.420,.500,1.8,2.9,.617,0.4,3.2,3.6,6.5,1.3,0.0,2.1,1.8,11.5
207,Rudy Fernández,23.3,2.7,7.4,.370,1.5,4.6,.321,1.2,2.7,.453,.471,1.6,1.9,.863,0.5,1.7,2.2,2.5,1.1,0.2,1.1,1.7,8.6
