name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
Michael Wilson,POINT GUARD,27,ATLANTA HAWKS,2,0,2,0,2,0,0,0,0,0,0,1,0,0,1,1,0
Othell Wilson,POINT GUARD,25,SACRAMENTO KINGS,53,2,789,82,185,3,18,43,54,28,53,207,42,4,77,67,210
David Wingate,SHOOTING GUARD,23,PHILADELPHIA 76ERS,77,9,1612,259,602,13,52,149,201,70,86,155,93,19,128,169,680
Randy Wittman,SHOOTING GUARD,27,ATLANTA HAWKS,71,65,2049,398,792,4,12,100,127,30,94,211,39,16,88,107,900
Al Wood,SHOOTING GUARD,28,DALLAS MAVERICKS,54,0,657,121,310,7,25,109,139,39,55,34,19,11,34,83,358
Leon Wood,POINT GUARD,24,NEW JERSEY NETS,76,7,1733,187,501,60,200,123,154,23,97,370,48,3,108,126,557
Mike Woodson,SHOOTING GUARD,28,LOS ANGELES CLIPPERS,74,66,2126,494,1130,34,123,240,290,68,94,196,100,16,168,201,1262
Orlando Woolridge,SMALL FORWARD,27,NEW JERSEY NETS,75,53,2638,556,1067,1,8,438,564,118,249,261,54,86,213,243,1551
James Worthy,SMALL FORWARD,25,LOS ANGELES LAKERS,82,82,2819,651,1207,0,13,292,389,158,308,226,108,83,168,206,1594
Brad Wright,POWER FORWARD,24,NEW YORK KNICKS,14,0,138,20,46,0,1,12,28,25,28,1,3,6,13,20,52
Danny Young,POINT GUARD,24,SEATTLE SUPERSONICS,73,26,1482,132,288,29,79,59,71,23,90,353,74,3,85,72,352
Perry Young,SHOOTING GUARD,23,CHICAGO BULLS,5,0,20,2,4,0,0,1,2,0,1,0,1,0,1,3,5
Perry Young,SHOOTING GUARD,23,PORTLAND TRAIL BLAZERS,4,0,52,4,17,0,0,0,0,3,4,7,4,1,3,11,8
